"Time";"Consumption";"Grid consumption";"Grid backflow";"PV generation";"Battery charging";"Battery discharging"
"2022-03-26T11:00:00+01:00";92217.12626984129;63132.35666666665;0;27741.990833333333;0;1653.281563333333
"2022-03-26T11:30:00+01:00";89403.55817460314;60598.07210317459;0;28749.922499999993;0;299.80974007936516
"2022-03-26T12:00:00+01:00";89686.05543650794;59711.53325396825;0;29086.592817460314;0;1086.563858412698
"2022-03-26T12:30:00+01:00";83364.53620689655;59375.63460591133;0;23985.962356321837;0;74.33571486042689
"2022-03-26T13:00:00+01:00";81050.66222222219;55462.37496031746;0;25481.120595238095;0;17.65010484126984
"2022-03-26T13:30:00+01:00";82990.68436507937;64547.00091269841;0;17137.97638888889;0;1563.3992852380948
"2022-03-26T14:00:00+01:00";82477.5442857143;62908.19468253968;0;18272.69761904762;0;1317.6333530952384
"2022-03-26T14:30:00+01:00";89405.28924603172;67259.10273809523;0;20175.05083333334;0;1902.4331911507938
"2022-03-26T15:00:00+01:00";87052.11658456486;66112.83633004926;0;20237.987151067322;0;866.8316077586203
"2022-03-26T15:30:00+01:00";84182.11218253968;69064.6082936508;0;14684.820555555556;0;549.1162558333332
"2022-03-26T16:00:00+01:00";82769.09837301588;67914.15992063493;0;13063.006706349206;0;2224.4323159523815
"2022-03-26T16:30:00+01:00";83353.21579365077;71910.9069047619;0;9570.918412698411;0;2252.484895
"2022-03-26T17:00:00+01:00";78110.01753968255;68528.63003968255;0;6404.822023809525;0;3212.2614528571426
"2022-03-26T17:30:00+01:00";67518.57870689654;63923.446059113296;0;3472.3888054187187;0;93.01841391625621
"2022-03-26T18:00:00+01:00";62889.82024603175;60765.11507936509;0;1823.9551666666673;0;587.537226984127
"2022-03-26T18:30:00+01:00";39586.375896825404;38598.89067460317;0;987.4852222222223;0;0
"2022-03-26T19:00:00+01:00";30703.589339547623;30461.155515873008;0;233.38783161111118;0;0
"2022-03-26T19:30:00+01:00";27912.039166666666;27912.039166666666;0;0;0;0
"2022-03-26T20:00:00+01:00";27954.59277504105;27948.647085385874;0;0;0;0
"2022-03-26T20:30:00+01:00";27552.096349206346;27552.096349206346;0;0;0;0
"2022-03-26T21:00:00+01:00";27367.041388888887;27367.041388888887;0;0;0;0
"2022-03-26T21:30:00+01:00";27628.255714285715;27628.255714285715;0;0;0;0
"2022-03-26T22:00:00+01:00";28767.965912698415;28767.965912698415;0;0;0;0
"2022-03-26T22:30:00+01:00";28883.915158730157;28883.915158730157;0;0;0;0
"2022-03-26T23:00:00+01:00";28101.41301313629;28101.41301313629;0;0;0;0
"2022-03-26T23:30:00+01:00";27789.693095238097;27789.693095238097;0;0;0;0
"2022-03-27T00:00:00+01:00";27438.513730158727;27423.590357142853;0;0;0;0
"2022-03-27T00:30:00+01:00";27614.162301587305;27614.162301587305;0;0;0;0
"2022-03-27T01:00:00+01:00";57638.80773809525;57638.80773809525;0;0;29013.0805372619;0
"2022-03-27T01:30:00+01:00";28746.578293650797;28746.578293650797;0;0;1366.826461746031;0
"2022-03-27T03:00:00+02:00";28156.631280788173;28156.631280788173;0;0;304.6260785714286;1.2550344827586206
"2022-03-27T03:30:00+02:00";28727.105119047617;28727.105119047617;0;0;0;0
"2022-03-27T04:00:00+02:00";28091.120000000003;28091.120000000003;0;0;0;0
"2022-03-27T04:30:00+02:00";27894.12865079365;27894.12865079365;0;0;0;0
"2022-03-27T05:00:00+02:00";28530.393373015875;28530.393373015875;0;0;0;0
"2022-03-27T05:30:00+02:00";28114.049794745482;28114.049794745482;0;0;0;0
"2022-03-27T06:00:00+02:00";27974.231547619045;27974.231547619045;0;0;0;0
"2022-03-27T06:30:00+02:00";28165.904126984133;28165.904126984133;0;0;0;0
"2022-03-27T07:00:00+02:00";29109.833373015874;29109.833373015874;0;0;0;0
"2022-03-27T07:30:00+02:00";30245.398174603175;30245.398174603175;0;0;0;0
"2022-03-27T08:00:00+02:00";32276.814206349205;32276.814206349205;0;0;0;0
"2022-03-27T08:30:00+02:00";33357.62972085386;33357.62972085386;0;0;0;0
"2022-03-27T09:00:00+02:00";33794.08591269841;33794.08591269841;0;0;0;0
"2022-03-27T09:30:00+02:00";65511.99901587302;62657.104801587295;0;1327.4307222222224;0;1380.6544389285714
"2022-03-27T10:00:00+02:00";79153.53194444445;73316.53742063491;0;1792.3203174603173;0;4223.633232698414
"2022-03-27T10:30:00+02:00";79342.93246031746;74400.65015873015;0;773.0416666666666;0;4368.836684880952
"2022-03-27T11:00:00+02:00";107527.05459770115;76498.30131362891;0;1672.2982758620687;0;30376.896256691285
"2022-03-27T11:30:00+02:00";94097.40734126982;75751.65567460316;0;1537.5726984126984;0;17441.38292888889
"2022-03-27T12:00:00+02:00";103656.61829365078;76210.74488095239;0;0;0;28303.01669674603
"2022-03-27T12:30:00+02:00";94871.84503968254;75260.8763888889;0;0;0;21173.500861190474
"2022-03-27T13:00:00+02:00";94509.82547619047;74983.08198412697;0;2118.3101587301585;0;17717.935521349205
"2022-03-27T13:30:00+02:00";95179.5928968254;74170.0820238095;0;5266.9484523809515;0;16646.97056257937
"2022-03-27T14:00:00+02:00";89555.40184729063;74101.45036945812;0;5568.787684729064;0;10185.970325123153
"2022-03-27T14:30:00+02:00";92118.74345238094;76454.6634126984;0;5184.740000000001;0;10589.495496349204
"2022-03-27T15:00:00+02:00";90050.71321428572;75134.48265873018;0;1558.8805555555555;0;14027.716914246037
"2022-03-27T15:30:00+02:00";88627.98392857143;73974.54055555556;0;8084.979880952381;878.9371210714286;7737.774528888886
"2022-03-27T16:00:00+02:00";85272.9341543514;72781.42832512315;0;12988.57643678161;2718.371141133005;2263.022019991789
"2022-03-27T16:30:00+02:00";74872.92488095239;69923.3146031746;0;7483.173611111111;9155.614245396828;1569.2376503968255
"2022-03-27T17:00:00+02:00";70899.87817460319;68330.38079365081;0;9274.269166666669;8678.147104007936;266.68063111111115
"2022-03-27T17:30:00+02:00";56788.653134920634;54773.17714285714;0;1987.3890476190475;0;2.870476190476189
"2022-03-27T18:00:00+02:00";45478.49646825397;44542.883769841275;0;935.6126984126985;0;0.7534000000000002
"2022-03-27T18:30:00+02:00";28931.575164203612;28413.859072249586;0;517.716091954023;0;0
"2022-03-27T19:00:00+02:00";26691.084960317457;26691.084960317457;0;0;0;0
"2022-03-27T19:30:00+02:00";25966.401190476197;25966.401190476197;0;0;0;0
"2022-03-27T20:00:00+02:00";26944.51900793651;26944.51900793651;0;0;0;0
"2022-03-27T20:30:00+02:00";28293.703253968255;28293.703253968255;0;0;0;0
"2022-03-27T21:00:00+02:00";27265.42528735632;27265.42528735632;0;0;0;0
"2022-03-27T21:30:00+02:00";26736.833968253974;26736.833968253974;0;0;0;0
"2022-03-27T22:00:00+02:00";27082.82361111111;27082.82361111111;0;0;0;0
"2022-03-27T22:30:00+02:00";27497.06972222222;27497.06972222222;0;0;0;0
"2022-03-27T23:00:00+02:00";28091.096388888887;28082.72722222222;0;0;0;0
"2022-03-27T23:30:00+02:00";27576.243373015874;27576.243373015874;0;0;0;0
